,Date,Close
0,2023-01-05,105.6
1,2023-01-06,106.88
2,2023-01-09,104.89
3,2023-01-10,106.46
4,2023-01-11,107.69
5,2023-01-12,109.48
6,2023-01-13,109.41
7,2023-01-17,109.2
8,2023-01-18,106.96
9,2023-01-19,107.64
10,2023-01-20,109.61
11,2023-01-23,109.04
12,2023-01-24,110.05
13,2023-01-25,109.47
14,2023-01-26,113.87
15,2023-01-27,111.79
16,2023-01-30,109.81
17,2023-01-31,112.18
18,2023-02-01,110.95
19,2023-02-02,107.48
20,2023-02-03,108.22
21,2023-02-06,108.04
22,2023-02-07,111.13
23,2023-02-08,110.16
24,2023-02-09,110.57
25,2023-02-10,115.24
26,2023-02-13,114.79
27,2023-02-14,113.44
28,2023-02-15,113.1
29,2023-02-16,112.77
30,2023-02-17,108.43
31,2023-02-21,108.33
32,2023-02-22,106.92
33,2023-02-23,107.91
34,2023-02-24,107.92
35,2023-02-27,107.72
36,2023-02-28,107.1
37,2023-03-01,108.05
38,2023-03-02,108.55
39,2023-03-03,109.92
40,2023-03-06,110.9
41,2023-03-07,108.76
42,2023-03-08,107.17
43,2023-03-09,106.34
44,2023-03-10,105.02
45,2023-03-13,103.82
46,2023-03-14,104.21
47,2023-03-15,99.02
48,2023-03-16,98.45
49,2023-03-17,97.29
50,2023-03-20,99.83
51,2023-03-21,104.3
52,2023-03-22,101.92
53,2023-03-23,100.77
54,2023-03-24,100.88
55,2023-03-27,103.09
56,2023-03-28,104.38
57,2023-03-29,106.17
58,2023-03-30,106.69
59,2023-03-31,106.86
60,2023-04-03,113.16
61,2023-04-04,112.08
62,2023-04-05,114.0
63,2023-04-06,112.11
64,2023-04-10,111.61
65,2023-04-11,112.4
66,2023-04-12,112.28
67,2023-04-13,112.81
68,2023-04-14,113.08
69,2023-04-17,111.77
70,2023-04-18,113.95
71,2023-04-19,113.59
72,2023-04-20,112.68
73,2023-04-21,113.04
74,2023-04-24,115.18
75,2023-04-25,113.54
76,2023-04-26,112.5
77,2023-04-27,113.84
78,2023-04-28,115.31
79,2023-05-01,111.74
80,2023-05-02,107.28
81,2023-05-03,105.17
82,2023-05-04,103.33
83,2023-05-05,105.9
84,2023-05-08,106.32
85,2023-05-09,106.35
86,2023-05-10,104.98
87,2023-05-11,103.08
88,2023-05-12,103.07
89,2023-05-15,103.27
90,2023-05-16,100.77
91,2023-05-17,103.03
92,2023-05-18,103.96
93,2023-05-19,104.44
94,2023-05-22,103.17
95,2023-05-23,104.58
96,2023-05-24,105.75
97,2023-05-25,103.85
98,2023-05-26,103.17
99,2023-05-30,102.26
100,2023-05-31,100.43
101,2023-06-01,101.59
102,2023-06-02,103.95
103,2023-06-05,103.49
104,2023-06-06,104.33
105,2023-06-07,106.67
106,2023-06-08,106.34
107,2023-06-09,105.55
108,2023-06-12,104.6
109,2023-06-13,104.62
110,2023-06-14,103.36
111,2023-06-15,104.08
112,2023-06-16,103.33
113,2023-06-20,100.96
114,2023-06-21,102.09
115,2023-06-22,101.53
116,2023-06-23,100.65
117,2023-06-26,102.5
118,2023-06-27,102.76
119,2023-06-28,103.6
120,2023-06-29,104.87
121,2023-06-30,105.41
122,2023-07-03,105.62
123,2023-07-05,105.08
124,2023-07-06,101.16
125,2023-07-07,101.39
126,2023-07-10,102.9
127,2023-07-11,104.16
128,2023-07-12,104.67
129,2023-07-13,102.75
130,2023-07-14,99.21
131,2023-07-17,99.64
132,2023-07-18,99.19
133,2023-07-19,99.88
134,2023-07-20,101.64
135,2023-07-21,102.11
136,2023-07-24,103.71
137,2023-07-25,103.87
138,2023-07-26,103.29
139,2023-07-27,103.62
140,2023-07-28,102.38
141,2023-07-31,105.4
142,2023-08-01,104.79
143,2023-08-02,103.49
144,2023-08-03,105.29
145,2023-08-04,105.58
146,2023-08-07,105.36
147,2023-08-08,105.89
148,2023-08-09,107.68
149,2023-08-10,108.23
150,2023-08-11,109.92
151,2023-08-14,110.0
152,2023-08-15,107.18
153,2023-08-16,105.38
154,2023-08-17,107.42
155,2023-08-18,109.04
156,2023-08-21,107.72
157,2023-08-22,107.12
158,2023-08-23,106.18
159,2023-08-24,105.39
160,2023-08-25,107.27
161,2023-08-28,108.17
162,2023-08-29,108.81
163,2023-08-30,109.88
164,2023-08-31,110.18
165,2023-09-01,112.49
166,2023-09-05,112.5
167,2023-09-06,113.47
168,2023-09-07,112.92
169,2023-09-08,114.56
170,2023-09-11,113.13
171,2023-09-12,116.43
172,2023-09-13,115.38
173,2023-09-14,117.45
174,2023-09-15,115.64
175,2023-09-18,116.57
176,2023-09-19,116.27
177,2023-09-20,115.35
178,2023-09-21,113.72
179,2023-09-22,113.9
180,2023-09-25,115.18
181,2023-09-26,115.36
182,2023-09-27,119.11
183,2023-09-28,118.39
184,2023-09-29,116.51
185,2023-10-02,114.58
186,2023-10-03,114.78
187,2023-10-04,110.49
188,2023-10-05,108.0
189,2023-10-06,106.2
190,2023-10-09,109.91
191,2023-10-10,109.45
192,2023-10-11,105.53
193,2023-10-12,105.51
194,2023-10-13,108.87
195,2023-10-16,108.95
196,2023-10-17,110.38
197,2023-10-18,111.93
198,2023-10-19,112.0
199,2023-10-20,110.07
200,2023-10-23,108.46
201,2023-10-24,107.41
202,2023-10-25,107.61
203,2023-10-26,106.62
204,2023-10-27,104.59
205,2023-10-30,104.92
206,2023-10-31,104.89
207,2023-11-01,104.68
208,2023-11-02,108.12
209,2023-11-03,106.8
210,2023-11-06,104.91
211,2023-11-07,103.27
212,2023-11-08,102.0
213,2023-11-09,102.03
214,2023-11-10,102.81
215,2023-11-13,103.89
216,2023-11-14,104.29
217,2023-11-15,103.66
218,2023-11-16,102.46
219,2023-11-17,104.96
220,2023-11-20,104.5
221,2023-11-21,104.46
222,2023-11-22,104.01
223,2023-11-24,104.57
224,2023-11-27,103.96
225,2023-11-28,103.9
226,2023-11-29,102.34
227,2023-11-30,102.74
228,2023-12-01,102.99
229,2023-12-04,102.43
230,2023-12-05,100.44
231,2023-12-06,99.11
232,2023-12-07,98.42
233,2023-12-08,99.55
234,2023-12-11,99.62
235,2023-12-12,98.05
236,2023-12-13,98.92
237,2023-12-14,101.58
238,2023-12-15,100.9
239,2023-12-18,101.65
240,2023-12-19,102.99
241,2023-12-20,101.27
242,2023-12-21,101.73
243,2023-12-22,101.91
244,2023-12-26,102.14
245,2023-12-27,101.66
246,2023-12-28,100.19
247,2023-12-29,99.98
248,2024-01-02,102.36
249,2024-01-03,103.22
250,2024-01-04,102.32
