Date,Open,High,Low,Close,Volume,Ticker,Adj Close
2024-06-18,216.5771221156608,217.61228945527094,212.008492058615,213.29248046875,79943300.0,AAPL,
2024-06-20,212.93416556238657,213.24273529474334,207.87782592387282,208.70394897460938,86172500.0,AAPL,
2024-06-21,209.41064929966387,210.90366690915465,206.14591867526494,206.52415466308594,246421400.0,AAPL,
2024-06-24,206.75309943026167,211.70991411236912,205.6283545307824,207.171142578125,80727000.0,AAPL,
2024-06-25,208.1764159984445,210.3960464470149,207.6389363414956,208.0968017578125,56713900.0,AAPL,
2024-06-26,210.51548557795786,213.8598456726642,209.65948819693895,212.25733947753906,66213200.0,AAPL,
2024-06-27,213.69065882378794,214.73577429887092,211.36155475092565,213.10340881347656,49772700.0,AAPL,
2024-06-28,214.76559269472423,215.06419922920637,209.3210543856748,209.63955688476562,82542700.0,AAPL,
2024-07-01,211.10273143743845,216.4974998735104,210.933524598722,215.7410430908203,60402900.0,AAPL,
2024-07-02,215.1438274713018,219.35414798734178,214.09872731420612,219.24465942382812,58046200.0,AAPL,
2024-07-03,218.97591935149836,220.51870727539062,218.01043340115498,220.51870727539062,37369800.0,AAPL,
2024-07-05,220.61823649717394,225.39589603978789,220.61823649717394,225.28640747070312,60412400.0,AAPL,
2024-07-08,226.03290864697604,226.78938062149984,222.21078721739227,226.759521484375,59085900.0,AAPL,
2024-07-09,226.8690002119573,228.33215871662,225.3162642938077,227.61550903320312,48076100.0,AAPL,
2024-07-10,228.23264496613547,231.9950484021832,228.18287467129386,231.8955078125,62627700.0,AAPL,
2024-07-11,230.31290687462652,231.30825199534104,224.7190721562944,226.5106964111328,64710600.0,AAPL,
2024-07-12,227.85438851986095,231.55707334519846,227.61550023869842,229.4668426513672,53046500.0,AAPL,
2024-07-15,235.37920328245679,236.12571210202407,232.00498402552307,233.3088836669922,62631300.0,AAPL,
2024-07-16,233.90608352734432,235.17017597600105,231.24851410299036,233.7269287109375,43234300.0,AAPL,
2024-07-17,228.38191396445072,230.38256719376508,225.5849968618027,227.8145751953125,57345900.0,AAPL,
2024-07-18,229.2080862674353,229.36734514090358,221.23537686298488,223.136474609375,66034600.0,AAPL,
2024-07-19,223.773474302542,225.74425318618754,222.24063446922685,223.26583862304688,49151500.0,AAPL,
2024-07-22,225.9532706718539,226.71969060050867,222.051519961604,222.91748046875,48201800.0,AAPL,
2024-07-23,223.32558043665784,225.88362469345716,221.6434447483752,223.9626007080078,39960300.0,AAPL,
